,Product Description
126,"From break time to everyday play, the Kyrie Flytrap 6 gives your little one those all-star feels with a lightweight and breathable design. The coolest part? No laces! With 2 stretchy and snug straps, they keep little feet locked in so they can focus on having fun and repping all things Kyrie."
127,Colour outside the lines with this fun take on the always-classic AJ-1. The upper is made from synthetic leather and screen-printed canvas for a vibrant mix of textures. Speckled outsoles keeps the creativity alive while giving you all the traction you need.
128,Let them colour outside the lines in this fun take on the AJ1. Synthetic leather and screen-printed canvas combine for a bold mix of textures and colours. A speckled outsole adds stylish support for little feet.
129,"Shoes made for almost any occasion. Playtime? Sure. School? Yes. Activities with friends? Of course! The Nike E-Series 1.0 is the everyday shoe. The highlight is a lace-free design that stretches wide (helped by a hidden strap) so it's easy to slip feet in. Combining plush comfort underfoot and stability where it's needed, we have 1 goal: making sure you're confident and have fun every time you pull on your kicks."
130,"Proof that going simple is still awesome. The Nike Sportswear T-Shirt features an embroidered Swoosh on a boxy cut, for comfy, laid-back vibes."
131,"It's all about L-O-V-E when you pull on this Nike tee. You'll love the graphics. Don't forget the little details too, which our designers made—a scoop neckline and rounded hem that we're sure you'll also love."
132,"Whether it's 7am in the morning or 6pm at night, you'll love wearing the Nike Sportswear A.I.R. Essential leggings. The super-colourful graphics are designed by our artist-in-residence (A.I.R.) to add even more fun to this soft and stretchy style. With graphics like a mouth, eyeballs and stars, can you identify what all of them are?"
133,"Cristiano Ronaldo = LEGEND. Rep one of the greatest footballers today with the CR7 football shorts. Made from fabric designed to keep you focused on the ball, they'll help you stay dry while you warm up on the pitch, practise your skills and learn the game you love."
134,"Cristiano Ronaldo = LEGEND. Rep one of the greatest footballers today with the CR7 football top. Made from fabric that helps keep sweat away, you can stay cool and dry while you warm up on the pitch, practise your skills and cheer on the game you love."
135,"This iteration of the AJ1 re-imagines Mike's first signature model with a fresh mix of colours. Premium materials, soft cushioning and a padded ankle collar offer total support and celebrate the shoe that started it all."
136,"Football and basketball collide in this breathable knit top. With a design inspired by LeBron James and Liverpool F.C., it celebrates the King's ownership stake in the Reds. Plus, sweat-wicking technology helps you stay as cool and focused as your favourite sports stars."
137,"Hurry up and get your squad together ASAP! Team up and match with your best friends on the court in these mesh Nike Basketball shorts. What we love most: they're reversible, so you can change your team colours any time you like. We're ready to play, are you?"
138,"Do you love hoops? Whether you're a player or just a huge fan of the game and culture—you'll love this Nike basketball hoodie. It's made from fleece that can wick sweat away, so playing in it outside is no problem. What we love most: It's reversible, so it's like having 2 hoodies in 1. The message is clear: ""Ball for All"", which means it's designed for all types of ballers, like you."
139,"When opponents face LeBron James, they know they're in trouble. Feel like one of the game's greats with lightweight support in all the right places so you can move confidently with every run and jump. A big Max Air unit brings the cushioning you need to fly around the court, while repping everything LeBron."
140,"A tunic that looks like a basketball jersey? LOVE. Inspired by the all-star within us, this reversible top celebrates us being our best—whether it's standing out in the classroom or playing your favourite sport. Pixelated stars and shiny graphics bring extra star power. Wear the loose-fitting tunic alone, or pair with your favourite bottoms for a superstar outfit you can rock off the court."
141,"The Nike AF-1s are a legend. First on the basketball courts in the '80s, now wearable everywhere from lessons to the playground. They've been an icon for decades—meaning a long time! Smooth, durable leather is built to last for many days of play. Bright colours pop for this special all-star edition."
142,"The Giannis Immortality 2 takes after one of basketball's greats. Built to last wherever you play, you'll feel confident with every dribble—whether it's game time or training. Who's ready to become the next immortal on the court?"
143,"The Nike AF-1s are a legend for a reason. From the basketball courts in the '80s to the streets and schools today, they've been a sneaker icon everywhere for decades—meaning a long time! Soft, durable leather lasts for many days of play. Bright colours are made to pop, and only on this special all-star edition."
144,"Little ballers can dream of putting up monster numbers. Fantasise playing like an MVP. And play like a champion with the Freak 4—the 4th edition of Giannis's signature shoe for kids. Their lightweight and flexible feel, plus stability where little ones need it, help them play comfortably. Bright colours pop on this special All-Star edition. Elastic laces and a hook-and-loop strap make these shoes easy to get on and off."
145,"What does it mean to be an all-star? To us, it's being your best and shining bright—from the classroom to your favourite sport or activity. Inspired by the star within everyone, the Nike Icon Fleece hoodie celebrates what you're great at. Big graphics bring extra star power to your oversized soft fleece hoodie."
146,"Put up monster numbers. Feel like an MVP. Play like a champion with the Freak 4—the 4th edition of Giannis's signature basketball shoes. Their lightweight and flexible feel, plus stability where you need it, help you make quick moves on the court like the Freak. Bright colours are made to pop when you play, and designed only for this special All-Star edition. Elastic laces and a hook-and-loop strap make these shoes easy to get on and off."
147,"For kids who dream big, bring that motivation to every goal (big or small) with the LeBron XX (or, LeBron 20)—the 20th edition of The King's signature shoe. Their super-lightweight and breathable design lets little ones feel like an MVP every time they go out to play. The strap also makes them easy to take and off. Bright colours are made to pop at playtime, and designed only for this special all-star edition."
148,"He's a game-changer. He's an MVP. He's a champion. LeBron James is one of the greatest ever. Celebrate 2 decades of dominance with the LeBron XX (or LeBron 20)—the 20th edition of The King's signature basketball shoes. Their super-lightweight and breathable feel and Zoom Air cushioning help you run, jump and compete until the final buzzer. Bright colours are made to pop and designed only for this special all-star edition."
149,"For hardcore Penny devotees and those just looking to refresh their off-court game, the Air Penny 2 is the slick assist your outfit calls for. Echoing the original, it ups the magic with premium leather and sculpted foam done in artisan colours. The iconic ""1 cent"" logo adds our stamp of approval, while visible Nike Air cushioning delivers coveted, all-star comfort."
150,"Add a little fluff to your favourites—without adding too much warmth—with the help of this cropped terry fabric jacket. With extra room in the arms and body, its oversized fit makes layering easy."
151,"Layer up and go for your miles in this packable, sweat-wicking jacket. With ultra-soft woven fabric and an adjustable hood, you'll stay comfy as you explore new trails."
152,"Journey off the beaten path on runs of all lengths in these water-repellent shorts. Using insights from trail runners, we added plenty of storage options for snacks, keys and even a place to hang your top when you need to shed a layer."
153,"With its soft, stretchy fabric and statement-making shape, this tight-fitting bodysuit gives you options. On its own, its asymmetrical cutouts offer a sleek, athletic look. Under a button-up or your favourite sweatshirt, it's a stay-put layer that bends and stretches with your every move."
154,Lightweight fabric and a streamlined design keep you speeding for the finishing line in the Nike Dri-FIT Race Top. Mesh in key areas helps keep you cool with every step. This product is made from 100% recycled polyester fibres.
155,"Feel confident and go all out—without having to leave anything behind—in this medium-support sports bra. 3 mesh-lined pockets hold your phone, a snack or an extra layer so you can explore without limits. The lightweight, sewn-in spacer lining feels breathable while still giving you a little coverage, and sweat-wicking tech helps you keep your cool on the run."
156,"Blaze your own way in this sweat-wicking tee. With a roomy fit through the body, this tee is sure to become one of your running staples when you move off the beaten path."
157,"Add a little fluff to your favourites—without adding too much warmth—with the help of terry fabric. The extra-long, wide legs of these trousers add height to your look while taller ribbing at the waist ensure your look is anything but basic."
158,"Take it back to basketball in '96—the shorts were baggier, the jerseys were longer and the WNBA was about to change the game forever. Celebrate some throwback Nike style with this cosy French terry hoodie. Extra room in the body gives you a relaxed feel and a bold look."
159,"Take it back to basketball in '96—the shorts were baggier, the jerseys were longer and the WNBA was about to change the game forever. Celebrate some throwback Nike style with these cosy French terry trousers. Extra room in the legs gives you a relaxed feel and a bold look."
160,"The Serena Williams Design Crew dived deep into the world of digital rarities and art to bring this classic hooded jacket new life. Extra room through the sleeves and body gives you plenty of space to layer up when you need to and slide from one multiverse to the next with ease. Fully lined and water-repellent, you can feel prepared no matter what the next dimension throws at you."
161,"Check that mirror—wooo weee. Stepping back to the era of boomboxes, acid-washed denim and the original Flight Suit, the first-ever AJKO 1 Low roots you directly to '80s off-court style. Straight from the minds of Chris Gibbs and UNION, this edition transforms your look with textures and materials reminiscent of the hoops-to-street revolution. The crafted design brings the money with suede, canvas and premium leather (plus removable Swooshes, so you can change up your look). No need to boast—these kicks do all the talking."
162,"Feel the potential with the Nike Renew Run 3. Plush where you need it, stretchy where it counts, this shoe keeps your foot stable with every step and turn. Super-soft foam adds a slightly springy feel for a little jump to your stride. It's got a clean look with fresh details that invite you to lace up and hit the road."
163,"Created for the hardwood but taken to the streets, this '80s icon returns to serve up classic details and throwback hoops flair. Channelling vintage style back onto the streets, a padded collar lets you comfortably take your game anywhere while reflective-style Swoosh designs and backtabs add style to your every step."
164,"Being rooted doesn't mean you can't step forwards. Keeping the classic simplicity and comfort you love, your favourite wardrobe staple gets remastered for the modern era. Extra rubber extends from the midsole to the Swoosh for a bold twist (and a little nod to Nike innovation from the '70s). The patchwork upper adds the perfect amount of retro attitude."
165,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flair. Channelling vintage style, the cracked-leather accents and soft suede in the upper bring good vibes and all-day comfort, wear after wear."
166,"The freedom of wearing nothing. Well, almost nothing. Minimal and lightweight, the SB Dunk High Pro brings you an immediate, broken-in sensation for incredible boardfeel. Its monochromatic upper adds a little PNW flair to your session, while all-over suede boosts its retro appeal. Speaking of appeal, the skate-specific outsole (now donning 8% Nike Grind material) adds exceptional grip and pairs with Zoom Air in the heel for the cushioning needed for big sets. Oh, and that exposed foam tongue with suede labelling adds the cherry on top."
167,"Praised by the streets for its simplicity and comfort, the Blazer returns with its classic hoops style. Featuring crisp leather, a low-cut collar and an exposed tongue, it's a must-have wardrobe staple."
168,"Taking the classic look of heritage Nike running into a new realm, the Nike Air Max Pre-Day brings you a fast-paced look ready for today's world. The upper keeps the retro track aesthetic you know best in a bold metallic finish. The new Air window energises the look, mixing head-turning style with unbelievably soft cushioning."
169,"Still 1 of our most tested shoes, the Nike React Infinity 3 has soft and supportive cushioning. Its soft, stable feel with a smooth ride will carry you through routes, long and short. A breathable upper is made to feel contained, yet flexible. We even added more cushioning around the heel and ankle for a supportive sensation. Keep running—we've got you."
170,"Step into the history books. Paying homage to Frank Rudy, the man who created the coveted cornerstone of cushioning—Air—the Nike Air Max Plus SE celebrates his legacy with fun details. From the shoe's release year proudly stamped on the Air unit to the translucent cage to the Airy woven upper, its striking visuals deliver a lesson in comfort."
171,"As part of our Mercado collection, this special-edition Air Max 90 draws inspiration from '90s style in Mexico City. It adds contrasting, retro-inspired colours to a signature silhouette made from premium leather and woven textiles. Lace up and feel the legacy."
172,"Your miles are your getaway, the moments of zen from your busy day. Let the Nike React Escape Run 2 Premium help you find your calm with its breathable design and midfoot support. It's soft underfoot, with the traction you need to get around city streets. It's made for your daily runs and beyond—with a plush sensation that keeps you comfortable from workouts to hang outs."
173,"Cushioned and comfortable, just like every run should feel. The Nike React Miler 3 gives you a soft and smooth ride as your feet hit the pavement. We added stability in the heel for a secure sensation, while durable traction helps keep you going on runs long and short."
174,"Let the Nike Pegasus Turbo Next Nature help you log the hard miles. Made from at least 50% recycled content by total weight of product, this esteemed stallion gives you a stretchy, just-right feel. Complete with lighter, responsive foam, it's made to help you increase tempo without sacrificing comfort as you push towards a personal best."
175,"The Nike Sportswear Sport Essentials Utility Shorts are all about adventure. A zip fly and snap closure provides a traditional cargo short feel. An elasticated waistband and internal drawcord ensure a comfortable, personalised fit. Snap-closed cargo pockets complete the look and provide additional storage to keep you ready for whatever comes next."
176,"Redefine essential with this breezy spin on a classic tank. Cool cotton on the front pairs with airy mesh on the back, while an asymmetrical hem adds edgy style to your summer look. This product is made from at least 50% organic cotton fibres."
177,"Stay cool in these lightweight, high-waisted shorts. A loose fit and mesh lining work together to keep you dry and comfortable whether you're pushing through your week or taking it easy."
178,"Sophisticated and retro-inspired. Ring in the new age of AF-1 vintage with era-echoing '80s construction and the ultimate in soft comfort. The woven tongue label and jewelled Swoosh brings the original hoops look to life, while a Coconut Milk outsole adds heritage appeal and durable traction."
179,"Easy, snug and built for play any time—the Nike Dynamo Go will be your little one's next fave. What we love most is that kiddos can stomp down on the collapsible heel and slip in quick and easy. And if they're not quite ready to do it themselves, you can show them how it works so they can be free and independent! It's also soft and plush in the best places, so the fun never stops."
180,The Nike Blazer Low '77 has transcended the basketball court to streetwear and is ready to land on your kid's feet.Tuck their toes into this icon for an old-school look that keeps little feet comfy on all their adventures.
181,"Looks Max, feels Max. The Air Max SYSTM brings back everything you love about your favourite '80s vibes (without the parachute trousers). Tried-and-tested visible Nike Air cushioning pairs with a sleek, sport-inspired upper. It's Air Max delivering again."
182,"Bringing a new look to the iconic Waffle franchise, we've balanced everything you love most about heritage Nike running with fresh innovations. The Waffle outsole has been updated with moulded lugs for extra support and traction—providing a level of comfort you have to feel to believe. Plus, the durable heel clip and leather upper add to the classic look."
183,"The Winflo 9 gives you the support you need to match your speed. It has a secure fit that keeps your foot in place as the miles go by. We added plenty of foam through the midsole, giving you extra pep to every step. Lace up, lock in, win your goals."
184,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with head-turning flair and a mix of textures. And we didn't forget about the feel—channelling vintage style back onto the streets, its padded, mid-cut collar lets you take your game anywhere in comfort."
185,"Set the gold standard with the Air Jordan 3. An all-time favourite, this fresh colourway adds to the legacy. Of course, a hangtag certifies your place on the team—and the elephant-print detailing delivers a classic finish."
186,"You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous edition to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts. This version has a collapsible heel that lets you step in without using your hands; then it snaps back up to secure your foot."
187,"Making iconic style even more comfortable. The Air Jordan 1 Zoom Cmft remakes the 1st Air Jordan with lightweight, low-profile cushioning and elements that improve wearability. Leathers and textiles in the upper have a broken-in feel. A lined, padded collar cups the heel for a secure fit."
188,"When it fits this good and looks this great, it doesn't need a Swoosh. The coveted hug-your-foot design, plus Air cushioning and a sturdy heel cage, gets updated with a chequerboard upper to match the season. Its Crater Foam midsole adds to the sporty-yet-sophisticated look. Go ahead, give your feet bragging rights."
189,"Feel fresh both on and off the court in this sweatshirt. Inspired by the professional on-court women's warm-up, it combines a comfortable and structured feel with sweat-wicking power that helps you stay dry. Swoosh Fly details give a shout out to Nike Women's Basketball."
190,"Root yourself to sporty athletics DNA with this throwback design. Thoughtfully crafted from at least 20% recycled materials by weight, we've included era-echoing fabrics (like soft suede) to deliver classic vibes. Modern design lines on the midsole and heel keep your look fresh. Lace up and give your day a look-good forecast."
191,"Bringing a new look to the Waffle franchise, the Nike Waffle One balances everything you love about heritage Nike running with fresh innovation. A plastic heel clip brings energy while a mixture of transparent mesh and retro suede add texture and depth. The Waffle outsole provides a level of support and traction you have to feel to believe."
192,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flair. Its crisp leather upper, metal accents and padded, high-top collar let you take your game anywhere—in comfort."
193,"Michael Jordan's game-winning classic returns—and this time, it's built for golf. The AJ12 Low gears up for the course with a springy full-length Zoom Air unit, plus a hybrid outsole with integrated traction and 7 removable spikes. Sunrise-inspired stitch lines on the upper recall the original '96 design and the biggest moments in that season's title run (remember MJ's buzzer beater in Game 1?). With legendary looks and all-star features, there's nothing stopping you from hitting the back 9. Time to get swinging."
194,"One thing stands out about the Nike Air More Uptempo. We'll let you take a guess. It's all about the A-I-R! These play-ready shoes were in a league of their own in the '90s hoops era. Now, blaze your own trail with the swag of a legend and Air cushioning that lasts all day."
195,"The Nike Air Max 90 Slide honours the legendary shoe that shook up the sneaker scene 30 years ago. The visible Max Air unit in the heel celebrates its strong heritage, while colourful stitched-in TPU elements add retro styling. The foam footbed and plush strap lining offer comfort and support. An embroidered Swoosh and premium materials elevate this slide into a category all its own."
196,"Rain or shine, this AJ-3 lets you call the shots. With premium leather in neutral tones and plenty of tough, textured textiles, this edition bridges classic Jordan style with the great outdoors. Nature-inspired colours keep it easy to style while embroidered detailing on the toe and heel reference the iconic elephant print from the original. Plus a fleece collar lining? Bliss defined."
197,"There's no pedalling required to enjoy these snug, stretchy shorts. Like your favourite leggings (and made from the same fabric as them), they're a perfect fit for warmer weather."
198,"Get back to the past with these coveted retros. Celebrating the '85 original, they bring back the shape that started the off-court revolution. With classic details and throwback hoops flair, they let you channel vintage style back onto the streets. The padded, high-top collar means you can take your game anywhere—in comfort."
199,"The Nike Sportswear Tech Pack Top helps you keep your cool. Perforations throughout the fabric vary in size according to where your body heats up the most, so you can focus on looking your best, no sweat. This product is made with at least 75% recycled polyester and recycled cotton fibres."
200,"Created for the hardwood but taken to the streets, our classic Dunk Low returns with crisp overlays and throwback Nike graphics. This basketball icon channels '90s vibes with a mix of tricot and jersey in the upper that's soft, relaxed and durable. Modern footwear technology helps bring the comfort into the 21st century."
201,"You're ready to ball in this Zion-approved tank. Breathable mesh in a loose, airy fit gets an assist from sweat-wicking Dri-FIT Technology to keep you feeling fresh on and off the court."
202,"Flex your speed and embrace the momentum in our sweat-wicking Stride Shorts. They're made with a smooth, flexible touch, so you'll be moving freely with every stride. As part of our D.Y.E. collection, they show off your brain on exercise with graphics that celebrate the positive vibes after a good run."
203,"You can't help but look cool in low tops that meld high-end craft with high-tech features. Airy Ripstop and soft, synthetic suede pair with a smooth interior. The result? Classic low-top looks and the premium comfort you expect from Jordan Brand."
204,"Designed with our classic fit and everyday cotton fabric, the Nike Sportswear T-Shirt has a soft, familiar feel perfect for everyday wear. All-over printed graphics bring energy to your look."
205,"From puff pants to loud prints, the '90s were a time for wild and fun experiments in fashion and culture. This was the decade that started the solo journey of the iconic Swoosh logo. Pay homage to history while stepping forwards into the future of athletics in the Nike Dri-FIT One Luxe Icon Clash Training Tank. Buttery-soft, sweat-wicking fabric and racerback straps help keep you cool as you play hard. With the Swoosh logo emblazoned on your chest and an out-of-the-box print, you'll feel confident—no matter what. This product is made from at least 75% recycled polyester fibres."
206,"Re-energise your run in these bold shorts. Split hems and lightweight, moisture-wicking fabric allow you to move through your full range of motion—and stay cool and comfortable while you do it."
207,"Upgrade your Js with blue jeans and bling. Outfitted in washed denim and gold hoop dubraes, this high-top pair keeps it casual while making a statement with every step."
208,"Your shoe game just went atmospheric in this AF-1 High with sky-blue accents. The padded, high-cut collar and hook-and-loop closure keep you grounded just enough, while perforations and classic Air cushioning make you feel as though you're walking on clouds."
209,"Inspired by Mictlán, this is a story of family connections. This unique ""Día de Muertos"" version of the Air Jordan 1 stays true to style with a bright jaguar print and unique details, like a multi-coloured embroidered Swoosh logo with an arrow. The words ""Siempre"" and ""Familia"" stamped on the upper connect back to the family tradition."
210,"""Follow your light"" and let yourself shine from morning to night in Jordan slides infused with J Balvin's feel-good, jump-for-your-dreams flavour. Puffed-up panels and breezy cloud graphics on the strap are paired with rainbow detailing and J Balvin's signature smiley face logo to steal the hearts of passers-by. So slide in and rock 'em 'til the sun goes down—the super-plush, glow-in-the-dark foam underfoot will make sure you keep standing out."
211,"The Nike Dri-FIT One Luxe Top is designed for all the ways you work out—from yoga to HIIT to long runs. As part of the Nike Luxe line, this top defines luxury with buttery-soft and smooth fabric that breathes to keep you dry and cool. It's made from at least 75% recycled polyester fibres."
212,"Paying homage to both heritage and innovation, we've blended 2 icons (old and new) to go beyond what's expected in the Nike Air Max Flyknit Racer. Incredibly light and airy Flyknit is paired with oh-so-comfy Air Max cushioning. Lace up and let your feet do the talking."
213,"Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colours, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel."
214,"The Nike SB Zoom Blazer Mid brings you a blank canvas to tell your story. The nearly all-white upper is ready for you to dye, colour or draw on. Lightweight cushioning adds comfort to the toughest skate sessions while the durable traction pattern helps you land big sets. We're looking forward to seeing what you create."
215,"The latest and greatest innovation to hit the streets, the Nike SB Force 58 gives you the durability of a cupsole with the flexibility of a vulcanised shoe. Made from canvas and suede and finished with perforations, the whole look is infused with heritage basketball DNA."
216,"There's never a wrong time to stand tall. Created for the hardwood but taken to the streets, the Nike Dunk High Up gives the '80s b-ball icon the perfect lift. With its classic high-top design, sport-like essence and elevated midsole, it stays true to hoops DNA while letting you channel your confidence with every step."
217,"The Nike Flex Essential 2-in-1 Shorts have a tight, stretchy base layer underneath a loose, woven outer layer. They give you plenty of flexibility and have sweat-wicking technology to keep you dry and comfortable."
218,"This iteration of the AJ1 re-imagines MJ's first signature shoe with a fresh mix of colours. Premium materials, soft cushioning and a padded ankle collar offer total support and celebrate the shoe that started it all."
219,"Continue the next evolution of speed with a racing shoe made to help you chase new goals and records. The Nike Vaporfly 2 builds on the model racers everywhere love. It helps improve comfort and breathability with a redesigned upper. From a 10K to a marathon, the 2 still has the responsive cushioning and secure support to help push you towards your personal best. This electric design is inspired by the soul and rebellious spirit of Eugene, Tracktown USA, where contenders from all over the world will descend to test themselves against the globe's greatest athletes."
220,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: '80s construction and bold details. From pristine materials to the cupsole design, it delivers durable style that's smoother than backboard glass."
221,"A must-have for any sneakerhead, these AJ1s bring the classic hoops look into summertime with bold, seasonal colours. Crisp leather ages to perfection while lightweight Air cushioning keeps your feet happy all day."
222,"The SB Zoom Blazer Mid PRM tailors iconic hoops style to the needs of the modern skater. Praised for its classic simplicity and comfort, it now uses an overspray dye method that is designed to waste less water. Plush mid-cut collar, tacky rubber for flexible grip and a durable design make it your no-brainer for long skate days."
223,"With a nod to tennis culture, the NikeCourt Legacy reinvents a classic with an easy-to-wear design. Crafted from durable leather and canvas, these kicks feature reflective-design Swoosh logos, heritage details and style that seeks to merge sport and fashion."
224,"Separate yourself from the competition in the AJ7 x Bephies Beauty Supply. Unapologetic, powerful and downright heat for the streets, this is founder Beth Birkett's transgressive take on a beloved hoops icon. The Huarache-inspired heel emblem nods to one of Birkett's fave sneakers, while transparent side vents bring fresh insight into cool. A mesh inner sleeve extends up over the ankle, and a toggle cinch and embroidered accents finish the look. Branding and graphics celebrate women of colour, tapping into Birkett's design ethos of honouring the individual and involving community—a new definition of off-court style."
225,Relive the moment you made the team with these varsity-jacket-inspired kicks. Chenille fabric on the Swoosh and classic varsity colours celebrate your journey to greatness—and help you look good along the way.
226,"Throw tradition out the door? Never. Paying homage to both heritage and innovation, we've blended two icons to go beyond what's expected. Light, airy Flyknit pairs beautifully with oh-so-comfy Air Max cushioning. Lace up and let your feet do the talking."
227,"From the beach to the stands, the Nike Victori One perfects a classic, must-have for sunny days. Lightweight and easy to wear (and pack for your holiday), its soft, responsive foam makes lounging easy."
228,"The Nike EcoHaven Slide—wear it all day, in wet or dry conditions, from the beach to the boardwalk and everywhere in between. Its Crater Foam delivers amazing step-in comfort. Nike Grind helps keep your foot from slipping. The durable tech-cord strap feels great and adds an outdoorsy vibe. To top it off, we've made it from at least 20% recycled materials by weight. So get out there and do good by looking good."
229,"Inspired by Serena. Worn by you. Channel your inner icon in a shoe designed to celebrate the diverse perspectives of the Serena Williams Design Crew for athletes everywhere. The graphics and colours inject a shot of energy into the look, while the purple and gilded details make your feet feel majestic. Her goal in this capsule was simple—for future generations to see it and think, ""I can do it too""."
230,"Running is your daily ritual, with every step taking you closer to your personal goal. Let the Nike Pegasus 39 help you ascend to new heights, whether you're training or jogging, with its intuitive design. More lightweight up top than the Pegasus 38 and ideal to wear in any season, it has a supportive sensation to help keep your feet contained, while underfoot cushioning and double Zoom Air units (1 more than the Peg 38) give you an extra pop to your step. This version has a brightly coloured exterior that announces your presence on the road. Time to fly."
231,"Step into the history books. These special-edition kicks pay homage to Frank Rudy, the man who created the coveted cornerstone of cushioning—Air. From the see-through 'Air pocket' heel logo to ""Est. 1990"" proudly stamped on the Air unit, celebrate Frank's legacy with fun details that deliver a lesson in comfort."
232,"When it came time to build his signature shoe, Ishod Wair was all in from start to finish. Honouring his first love, basketball, he infused the design with elements taken from the iconic hoops shoes of the '90s. Built with all the durability you need to skate hard—seriously, check out that new cupsole—the Nike SB Ishod Wair walks the line between original style and modern skate innovation."
233,"Power through each rep with a redesigned shoe that brings support and stability to your every move. It's lighter than previous versions so you can hit your fastest pace during circuit training and HIIT. Plus, Zoom Air cushioning and flexibility underfoot keep you ready for every lunge, step and jump."
234,"Let your style rise to the occasion with the Nike Air Force 1 PLT.AF.ORM LV8. As part of our Mercado collection, these next-level AF-1s draw inspiration from colourful traditional public markets and the '90s in Mexico City to become your new favourite find. Smooth and textured leather is combined with soft suede and woven cotton to nod to the eclectic variety of materials you might discover while weaving through vendors' stalls. Its platform midsole takes you to the next level while Nike Air cushioning keeps you searching for your next treasure in comfort."
235,"With a design sensibility that bridges East and West, CLOT founder Edison Chen brings his expressive style to a fresh collab. Pairing DNA from the AJ13 with a coveted colourway, he delivers an original look that remains rooted to Jordan heritage. Full of intricate detailing (check out the holographic hangtag and 2-layer mesh-foam upper), Chen effortlessly merges icons so you can step into the future of off-court style. Insole graphics and rubberised tongue logos seal the deal—this is an undeniably impeccable look."
236,"Celebrate heritage with an updated version of the Dunk High, recrafted to reflect the original from 1985. Matching the shape, look and feel that started it all, it delivers true vintage style while keeping the familiar comfort you love."
237,"Spread the love. Tell the stories. Step into greatness. Our collab with South Africa's leading sneaker and streetwear shop Shelflife is a fresh take on the AJ2, grounding you to the spirit of TEAM ONLY (just check out the back of the tongue). Rooted to Shelflife's graffiti and street art origins, the design serves blank canvas symbolism with its neutral upper. Bright accents boost the energy while insole graphics—a collage of signatures and autographs from the Shelflife community—evoke the company's ethos: ""It's only through our team that we become who we are""."
238,"For the rally that won't relent or the dangling volley that needs to be smashed at the net, go with the next generation of tennis performance. Backed by years of athlete data, it provides the kind of tenacious traction that can help you get to that unreachable ball along the baseline. An innovative cushioning system offers the sort of satisfying support that can help make the difference if your match goes the distance."
239,"The NikeCourt Air Zoom Vapor Pro takes everything you love about the NikeCourt Air Zoom Vapor X and makes it lighter and more supportive. The 3-layer design puts breathability, stability and durability where they're needed most, all while keeping weight at a minimum."
240,"Styled for the '70s. Loved in the '80s. Classic in the '90s. Ready for the future. The Zoom Blazer Mid delivers a timeless design that's easy to wear. The era-echoing upper blends a mix of materials that break in beautifully. Exposed foam on the tongue and a special midsole finish make it look like you've just pulled them from the history books. Go ahead, perfect your outfit."
241,"From the beach to the stands, meet your must-have slides for sunny days. Easy to wear and easy to pack (hopefully for a holiday), their soft, lightweight foam lets you lounge in complete comfort."
242,"Let a new wave of comfort and style take hold in the Nike Air Force 1 Fontanka, the b-ball original that crosses high fashion with off-court style. Upping the ante with its lifted midsole, re-imagined outsole and richly layered upper with soft suedes and intricate stitching, it embraces the chaos of underground creativity. If that's not enough, the ""cassette tape"" of ultra-soft React foam in the heel adds a bold look."
243,"This short-sleeve top is a throwback to the classic ringer tee. Inspired by team appliqués, the graphics will take you back to after-school sports."
244,You can't help but look cool in low tops that meld high-end craft with high-tech features. Airy Ripstop and soft suede are paired with a seamless interior. The result? Classic low-top looks and the premium comfort you expect from Jordan Brand.
245,"Don't adjust your screen. What you're seeing isn't a glitch in the system. Built to fit your foot and designed for comfort, this Nike Air Huarache SE packs a nostalgic punch with an all-over pixelated print and glow-in-the-dark details. The low-cut collar and bootie-like construction keep it sleek while an iconic heel clip and stripped-away branding add the '90s look you love."
246,"Cool and comfortable: are there any better ingredients for everyday kicks? These shoes are made from airy Ripstop, soft synthetic suede and a seamless interior. And that adds up to a classic low-top look with the premium comfort you expect from Jordan Brand."
247,"No matter where you are, the Bruin High lets you make things happen. As the first Nike SB shoe designed specifically for a snug fit, it delivers more comfort and better board control for narrower feet. So hit the skateparks and streets and let your style impress."
248,"What's your go-to? A fresh addition to the 23 Engineered line, the Granville Pro swoops in and delivers big on the concept of 24/7. Pairing innovation with off-court DNA, a Formula 23 midsole brings the comfort. The upper sports a throwback mix of materials inspired by MJ's university days, from classic suede to laser-cut textile and airy mesh. Exposed foam on the tongue and a sporty heel clip add retro-futuristic flair, while hidden details (check out the tongue label text and ""23"" moulded into the outsole) add clout. Whether you're chilling with friends, heading to the office or lacing up for a big night out—the Granville Pro has you covered."
249,"Let classic, easy-to-wear AF-1 style rise to the occasion with the Nike Air Force 1 PLT.AF.ORM LV8. Its elegantly shaped and lifted midsole delivers a proud, fresh look to the hoops franchise. With leather that ages to soft perfection, a sculpted collar and comfy foam underfoot, these unique kicks let you captivate your audience in comfort."
